IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
103.21.245.0,443,TRUE,中国,中国,中国,中国,中国,500,10
103.22.200.0,443,TRUE,日本,日本,日本,日本,日本,500,10
103.22.201.0,443,TRUE,日本,日本,日本,日本,日本,500,10
103.22.202.0,443,TRUE,中国,中国,中国,中国,中国,500,10
103.22.203.0,443,TRUE,中国,中国,中国,中国,中国,500,10
108.162.208.0,443,TRUE,加拿大,加拿大,加拿大,加拿大,加拿大,500,10
108.162.222.0,443,TRUE,中国,中国,中国,中国,中国,500,10
108.162.223.0,443,TRUE,中国,中国,中国,中国,中国,500,10
108.162.228.0,443,TRUE,法国,法国,法国,法国,法国,500,10
108.162.229.0,443,TRUE,法国,法国,法国,法国,法国,500,10
108.162.239.0,443,TRUE,加拿大,加拿大,加拿大,加拿大,加拿大,500,10
108.162.240.0,443,TRUE,加拿大,加拿大,加拿大,加拿大,加拿大,500,10
108.162.241.0,443,TRUE,加拿大,加拿大,加拿大,加拿大,加拿大,500,10
108.162.242.0,443,TRUE,加拿大,加拿大,加拿大,加拿大,加拿大,500,10
108.162.247.0,443,TRUE,澳大利亚,澳大利亚,澳大利亚,澳大利亚,澳大利亚,500,10
108.162.248.0,443,TRUE,澳大利亚,澳大利亚,澳大利亚,澳大利亚,澳大利亚,500,10
108.162.249.0,443,TRUE,澳大利亚,澳大利亚,澳大利亚,澳大利亚,澳大利亚,500,10
108.162.250.0,443,TRUE,澳大利亚,澳大利亚,澳大利亚,澳大利亚,澳大利亚,500,10
108.162.252.0,443,TRUE,韩国,韩国,韩国,韩国,韩国,500,10
131.0.72.0,443,TRUE,巴西,巴西,巴西,巴西,巴西,500,10
131.0.73.0,443,TRUE,巴西,巴西,巴西,巴西,巴西,500,10
131.0.74.0,443,TRUE,巴西,巴西,巴西,巴西,巴西,500,10
131.0.75.0,443,TRUE,巴西,巴西,巴西,巴西,巴西,500,10
141.101.64.0,443,TRUE,荷兰,荷兰,荷兰,荷兰,荷兰,500,10
141.101.65.0,443,TRUE,荷兰,荷兰,荷兰,荷兰,荷兰,500,10
141.101.66.0,443,TRUE,法国,法国,法国,法国,法国,500,10
141.101.67.0,443,TRUE,法国,法国,法国,法国,法国,500,10
141.101.68.0,443,TRUE,法国,法国,法国,法国,法国,500,10
141.101.69.0,443,TRUE,法国,法国,法国,法国,法国,500,10
